Lyrics,Song,Artist
"

You can force it but it will not come
You can taste it but it will not form
You can crush it but it's always here
You can crush it but it's always near
Chasing you home saying
Everything is broken
Everyone is broken

You can force it but it will stay stung
You can crush it as dry as a bone
You can walk it home straight from school
You can kiss it, you can break all the rules
But still...
Everything is broken
Everyone is broken

Everyone is, everyone is broken
Everyone is, everything is broken

Why can't you forget?
Why can't you forget?
Why can't you forget?
",Planet Telex,radiohead
"

Where do we go from here?
The words are coming out all weird
Where are you now, when I need you
Alone on an aeroplane
Fall asleep on against the window pane
My blood will thicken

I need to wash myself again to hide all the dirt and pain
'Cause I'd be scared that there's nothing underneath
But who are my real friends?
Have they all got the bends?
Am I really sinking this low?

My baby's got the bends, oh no
We don't have any real friends, no, no, no

Just lying in the bar with my drip feed on
Talking to my girlfriend, waiting for something to happen
I wish it was the sixties, I wish I could be happy
I wish, I wish, I wish that something would happen

Where do we go from here?
The planet is a gunboat in a sea of fear
And where are you?
They brought in the CIA, the tanks and the whole marines
To blow me away, to blow me sky high

My baby's got the bends
We don't have any real friends

Just lying in the bar with my drip feed on
Talking to my girlfriend, waiting for something to happen
I wish it was the sixties, I wish I could be happy
I wish, I wish, I wish that something would happen

I wanna live, breathe
I wanna be part of the human race
I wanna live, breathe
I wanna be part of the human race, race, race, race

Where do we go from here?
The words are coming out all weird
Where are you now when I need you?
",The Bends,radiohead
"

Two jumps in a week
I bet you think that's pretty clever, don't you boy?
Flying on your motorcycle,
Watching all the ground beneath you drop
You'd kill yourself for recognition,
Kill yourself to never ever stop
You broke another mirror,
You're turning into something you are not

Don't leave me high, don't leave me dry
Don't leave me high, don't leave me dry

Drying up in conversation,
You'll be the one who cannot talk
All your insides fall to pieces,
You just sit there wishing you could still make love
They're the ones who'll hate you
When you think you've got the world all sussed out
They're the ones who'll spit at you,
You'll be the one screaming out

Don't leave me high, don't leave me dry
Don't leave me high, don't leave me dry

It's the best thing that you ever had,
The best thing that you ever, ever had
It's the best thing that you ever had,
The best thing you have had has gone away

So, don't leave me high, don't leave me dry
Don't leave me high, don't leave me dry
Don't leave me high,
Don't leave me high, don't leave me dry
",High & Dry,radiohead
"

Her green plastic watering can
For her fake Chinese rubber plant
In the fake plastic earth
That she bought from a rubber man
In a town full of rubber bands
To get rid of itself

It wears her out, it wears her out
It wears her out, it wears her out

She lives with a broken man
A cracked polystyrene man
Who just crumbles and burns
He used to do surgery
For girls in the eighties
But gravity always wins

It wears him out, it wears him out
It wears him out, it wears

She looks like the real thing
She tastes like the real thing
My fake plastic love
But I can't help the feeling
I could blow through the ceiling
If I just turn and run

And it wears me out, it wears me out
It wears me out, it wears me out

If I could be who you wanted
If I could be who you wanted all the time

All the time
All the time
",Fake Plastic Trees,radiohead
"

I don't want to be crippled cracked
Shoulders, wrists, knees and back
Ground to dust and ash
Crawling on all fours

When you've got to feel it in your bones
When you've got to feel it in your bones

Now I can't climb the stairs
Pieces missing everywhere
Prozak painkillers

When you've got to feel it in your bones
When you've got to feel it in your bones
And I used to fly like peter pan
All the children flew when I touched their hands

When you've got to feel it in your bones
When you've got to feel it in your bones
",Bones,radiohead
"

They love me like I was a brother
They protect me, listen to me
They dug me my very own garden
Gave me sunshine, made me happy

Nice dream, nice dream, nice dream

I call up my friend, the good angel
But she's out with her answerphone
She says that she'd love to come help but
The sea would electrocute us all

Nice dream [7x]

If you think that you're strong enough
If you think you belong enough
If you think that you're strong enough
If you think you belong enough

Nice dream [4x]
",(Nice Dream),radiohead
"

Can't get the stink off
He's been hanging round for days
Comes like a comet
Suckered you but not your friends
One day he'll get to you
And teach you how to be a holy cow

You do it to yourself, you do
And that's what really hurts
Is that you do it to yourself
Just you, you and no one else
You do it to yourself
You do it to yourself

Don't get my sympathy
Hanging out the 15th floor
Changed the locks three times
Still come reeling through the door

One day I'll get to you
And teach you how to get to purest hell

You do it to yourself, you do
And that's what really hurts
Is that you do it to yourself
Just you, you and no one else
You do it to yourself
You do it to yourself

You do it to yourself, you do
And that's what really hurts
Is that you do it to yourself
Just you, you and no one else
You do it to yourself
You do it to yourself, yourself, yourself

You do it to yourself
You do it to yourself
You do it to yourself
",Just,radiohead
"

Faith, you're driving me away
You do it everyday
You don't mean it
But it hurts like hell

My brain says I'm receiving pain
A lack of oxygen
From my life support
My iron lung

We're too young to fall asleep
Too cynical to speak
We are losing it
Can't you tell?

We scratch our eternal itch
A twentieth century bitch
And we are grateful for
Our iron lung

The headshrinkers, they want everything
My uncle Bill, my Belisha beacon
The headshrinkers, they want everything
My uncle Bill, my Belisha beacon

Suck, suck your teenage thumb
Toilet trained and dumb
When the power runs out
We'll just hum

This, this is our new song
Just like the last one
A total waste of time
My iron lung
The headshrinkers, they want everything
My uncle Bill, my Belisha beacon
The headshrinkers, they want everything
My uncle Bill, my Belisha beacon

And if you're frightened
You can be frightened
You can be, it's OK
And if you're frightened
You can be frightened
You can be, it's OK

The headshrinkers, they want everything
My uncle Bill, my Belisha beacon
",My Iron Lung,radiohead
"

Limb by limb and tooth by tooth
Stirring up inside of me
Every day, every hour
Wish that I was bulletproof

Wax me, mould me
Heat the pins and stab them in
You have turned me into this
Just wish that it was bulletproof
Was bulletproof

So, pay me money and take a shot
Lead-fill the hole in me
I could burst a million bubbles
All surrogate and bulletproof

And bulletproof
And bulletproof
Bulletproof
",Bulletproof.. I Wish I Was,radiohead
"

I get home from work and you're still standing in your dressing gown
Well what am I to do?
I know all the things around your head and what they do to you
What are we coming to?
What are we gonna do?

Blame it on the black star
Blame it on the falling sky
Blame it on the satellite that beams me home

The troubled words of a troubled mind I try to understand what is eating you
I try to stay awake but its 58 hours since that I last slept with you
What are we coming to?
I just don't know anymore

Blame it on the black star
Blame it on the falling sky
Blame it on the satellite that beams me home

I get on the train and I just stand about now that I don't think of you
I keep falling over I keep passing out when I see a face like you
What am I coming to?
I'm gonna melt down

Blame it on the black star
Blame it on the falling sky
Blame it on the satellite that beams me home
This is killing me
This is killing me
",Black Star,radiohead
"

You bite through the big wall, the big wall bites back
You just sit there and sulk, sit there and bawl
You are so pretty when you're on your knees
Disinfected, eager to please

Sometimes you sulk, sometimes you burn
God rest your soul
When the loving comes and we've already gone
Just like your dad, you'll never change

Each time it comes it eats me alive
I try to behave but it eats me alive
So I declare a holiday
Fall asleep, drift away

Sometimes you sulk, sometimes you burn
God rest your soul
When the loving comes and we've already gone
Just like your dad, you'll never change

Sometimes you sulk, sometimes you burn
God rest your soul
When the loving comes and we've already gone
Just like your dad, you'll never change
",Sulk,radiohead
"

Rows of houses, all bearing down on me
I can feel their blue hands touching me
All these things into position
All these things we'll one day swallow whole
And fade out again and fade out

This machine will, will not communicate
These thoughts and the strain I am under
Be a world child, form a circle
Before we all go under
And fade out again and fade out again

Cracked eggs, dead birds
Scream as they fight for life
I can feel death, can see its beady eyes
All these things into position
All these things we'll one day swallow whole
And fade out again and fade out again

Immerse your soul in love
IMMERSE YOUR SOUL IN LOVE
",Street Spirit (Fade Out),radiohead
"

In the next world war
In a jackknifed juggernaut 
I am born again 

In the neon sign
Scrolling up and down
I am born again

In an interstellar burst
I am back to save the universe

In a deep deep sleep of the innocent
I am born again

In a fast german car
I'm amazed that I survived
An airbag saved my life

In an interstellar burst
I am back to save the universe

In an interstellar burst
I am back to save the universe
",Airbag,radiohead
"

Please could you stop the noise, I'm trying to get some rest
From all the unborn chicken voices in my head
What's that...? (I may be paranoid, but not an android)
What's that...? (I may be paranoid, but not an android)

When I am king, you will be first against the wall
With your opinion which is of no consequence at all
What's that...? (I may be paranoid, but no android)
What's that...? (I may be paranoid, but no android)

Ambition makes you look pretty ugly
Kicking and squealing gucci little piggy
You don't remember
You don't remember
Why don't you remember my name?
Off with his head, man
Off with his head, man
Why don't you remember my name?
I guess he does....

Rain down, rain down
Come on rain down on me
From a great height
From a great height... height...
Rain down, rain down
Come on rain down on me
From a great height
From a great height... height...
Rain down, rain down
Come on rain down on me

That's it, sir
You're leaving
The crackle of pigskin
The dust and the screaming
The yuppies networking
The panic, the vomit
The panic, the vomit
God loves his children, God loves his children, yeah!
",Paranoid Android,radiohead
"

The breath of the morning
I keep forgetting
The smell of the warm summer air

I live in a town
Where you can't smell a thing
You watch your feet
For cracks in the pavement

Up above
Aliens hover
Making home movies
For the folks back home

Of all these weird creatures
Who lock up their spirits
Drill holes in themselves
And live for their secrets

They're all uptight
Uptight.. [x7]

I wish that they'd swoop down in a country lane
Late at night when I'm driving
Take me on board their beautiful ship
Show me the world as I'd love to see it

I'd tell all my friends
But they'd never believe me
They'd think that I'd finally lost it completely

I'd show them the stars
And the meaning of life
They'd shut me away
But I'd be all right
All right..

I'm just uptight
Uptight.. [x7]
",Subterranean Homesick Alien,radiohead
"

Wake.. from your sleep
The drying of your tears
Today we escape, we escape

Pack.. and get dressed
Before your father hears us
Before all hell breaks loose

Breathe, keep breathing
Don't lose your nerve
Breathe, keep breathing
I can't do this alone

Sing.. us a song
A song to keep us warm
There's such a chill, such a chill

You can laugh
A spineless laugh
We hope your rules and wisdom choke you
Now we are one in everlasting peace

We hope that you choke, that you choke
We hope that you choke, that you choke
We hope that you choke, that you choke
",Exit Music (For A Film),radiohead
"

Transport, motorways and tramlines
Starting and then stopping
Taking off and landing
The emptiest of feelings
Disappointed people clinging on to bottles
And when it comes it's so so disappointing

Let down and hanging around
Crushed like a bug in the ground
Let down and hanging around

Shell smashed, juices flowing
Wings twitch, legs are going
Don't get sentimental
It always ends up drivel

One day I'm going to grow wings
A chemical reaction
Hysterical and useless
Hysterical and ...

Let down and hanging around
Crushed like a bug in the ground
Let down and hanging around

Let down again
Let down again
Let down again

You know, you know where you are with
You know where you are with
Floor collapsing
Floating, bouncing back
And one day....
I am going to grow wings
A chemical reaction
Hysterical and useless
Hysterical and...

Let down and hanging around
Crushed like a bug in the ground
Let down and hanging around
",Let Down,radiohead
"

Karma police, arrest this man
He talks in maths
He buzzes like a fridge
He's like a detuned radio

Karma police, arrest this girl
Her Hitler hairdo is
Making me feel ill
And we have crashed her party

This is what you get
This is what you get
This is what you get when you mess with us

Karma police
I've given all I can
It's not enough
I've given all I can
But we're still on the payroll

This is what you get
This is what you get
This is what you get when you mess with us

For a minute there I lost myself, I lost myself
Phew, for a minute there I lost myself, I lost myself

For a minute there I lost myself, I lost myself
Phew, for a minute there I lost myself, I lost myself
",Karma Police,radiohead
"

more productive
comfortable
not drinking too much
regular exercise at the gym (3 days a week)
getting on better with your associate employee contemporaries
at ease
eating well (no more microwave dinners and saturated fats)
a patient better driver
a safer car (baby smiling in back seat)
sleeping well (no bad dreams)
no paranoia
careful to all animals (never washing spiders down the plughole)
keep in contact with old friends (enjoy a drink now and then)
will frequently check credit at (moral) bank (hole in wall)
favours for favours
fond but not in love
charity standing orders
on sundays ring road supermarket
(no killing moths or putting boiling water on the ants)
car wash (also on sundays)
no longer afraid of the dark
or midday shadows
nothing so ridiculously teenage and desperate
nothing so childish
at a better pace
slower and more calculated
no chance of escape
now self-employed
concerned (but powerless)
an empowered and informed member of society (pragmatism not idealism)
will not cry in public
less chance of illness
tires that grip in the wet (shot of baby strapped in back seat)
a good memory
still cries at a good film
still kisses with saliva
no longer empty and frantic
like a cat
tied to a stick
that's driven into
frozen winter shit (the ability to laugh at weakness)
calm
fitter, healthier and more productive
a pig
in a cage
on antibiotics
",Fitter Happier,radiohead
"

I will stop
I will stop at nothing
Say the right things
When electioneering
I trust I can rely on your vote

When I go forwards you go backwards and somewhere we will meet

Riot shields
Voodoo economics
It's just business
Cattle prods and the IMF
I trust I can rely on your vote

When I go forwards you go backwards and somewhere we will meet
",Electioneering,radiohead
"

I am the key to the lock in your house
That keeps your toys in the basement.
And if you get too far inside
You'll only see my reflection.

It's always best when the candle's out,
I am the pick in the ice.
Do not cry out or hit the alarm,
You know we're friends 'til we die.

And either way you turn
I'll be there
Open up your skull
I'll be there
Climbing up the walls

It's always best when the light is off,
It's always better on the outside.
Fifteen blows to the back of your head,
Fifteen blows to your mind.

So lock the kids up safe tonight
And shut the eyes in the cupboard.
I've got the smell of a local man
Who's got the loneliest feeling.

That either way he turns - I'll be there
Open up your skull - I'll be there
Climbing up the walls

Climbing up the walls
Climbing up the walls
",Climbing Up The Walls,radiohead
"

A heart that's full up like a landfill
A job that slowly kills you
Bruises that won't heal

You look so tired, unhappy
Bring down the government
They don't, they don't speak for us
I'll take a quiet life
A handshake of carbon monoxide

No alarms and no surprises
No alarms and no surprises
No alarms and no surprises
Silent, silent

This is my final fit, my final bellyache with

No alarms and no surprises
No alarms and no surprises
No alarms and no surprises please

Such a pretty house, and such a pretty garden

No alarms and no surprises (let me out of here)
No alarms and no surprises (let me out of here)
No alarms and no surprises please (let me out of here)
",No Surprises,radiohead
"

I'm on a roll, I'm on a roll
This time, I feel my luck could change
Kill me Sarah, kill me again with love
It's gonna be a glorious day

Pull me out of the aircrash
Pull me out of the lake
'Cause I'm your superhero
We are standing on the edge

The Head of State has called for me by name
But I don't have time for him
It's gonna be a glorious day
I feel my luck could change

Pull me out of the aircrash
Pull me out of the lake
'Cause I'm your superhero
We are standing on the edge

We are standing on the edge
",Lucky,radiohead
"

It barks at no one else but me
Like it's seen a ghost
I guess it seen the sparks a-flowing
No one else would know

Hey man slow down, slow down
Idiot, slow down, slow down

Sometimes I get overcharged
That's when you see sparks
You ask me where the hell I'm going
At a thousand feet per second

Hey man slow down, slow down
Idiot slow down, slow down

Hey man slow down, slow down
Idiot slow down, slow down
",The Tourist,radiohead
"

In the next world war
In a jackknifed juggernaut 
I am born again 

In the neon sign
Scrolling up and down
I am born again

In an interstellar burst
I am back to save the universe

In a deep deep sleep of the innocent
I am born again

In a fast german car
I'm amazed that I survived
An airbag saved my life

In an interstellar burst
I am back to save the universe

In an interstellar burst
I am back to save the universe
",Airbag,radiohead
"

How'd you get your teeth so pearly?
Dew drop dentures
White washed faces
She runs from the third world, pearly

Vanilla (feel it crawl to me)
Milkshakes (crawl back again)
From Hard Rock (whatever you say)
Cafes (it won't go away)
That's where (I feel it crawl to me)
She got her (crawls back again)
Sweet tooth (it won't go away)
For white boys (whatever you say)

She runs from the third world, pearly
Hurts me

Darling hurts me
Darling hurts me
Darling hurts me
",Pearly,radiohead
"

If I get old
I will not give in
But if I do
Remind me of this

Remind me that
Once I was free
Once I was cool
Once I was me

And if I sat down and crossed my arms
Hold me until this song

Knock me out
Smash out my brains
If I take the chair and start to talk shit

If I get old remind me of this
That night we kissed and I really meant it
Whatever happens if we're still speaking
Pick up the phone
Play me this song
",A Reminder,radiohead
"

Go    
Tears of Joy Disjointed 
This is joy  
We'll scare ourselves  
Now Scare ourselves 
Will scare ourselves  
Of all that you wanna be    
Just go paid and now you're going    
How long should you be? 
How inside you please 
Out on Saturdays  
If I get scared I'll just call you    
And I miss your glow as I unsettle 
And I'll miss your glow as I unsettle   
Oh and I'll always feel Oh but I'll always feel   
I will always be  I will always feel   
Right, One, Two, Three, Four    
So sell your suit and tie 
So sad you seem tired 
So sell your sin inside 
So sad your sitting tight. 
And come and live with me 
Well come and live with me   
Leukemia Live with Me   
Schizophrenia Something in your   
Polyethylene    
There is no signicant    
Risk to your health    
She used to be beautiful once aswell    
Plastic Bag Middle Class Polyethylene    
Decaffeinate    
I'll let it Unleaded   
Keep all surfaces clean    
If you don't believe me If you don't believe this   
Sell your soul Sell yourself   
If you don't get into it no one will
",Polyethylene (Parts 1 & 2),radiohead
"

Don't forget that you are our son
Now go back to bed

We just know that you are ours
You won't cry too hard

Death to all who stand in your way
Wave my arms you
",Melatonin,radiohead
"

In a city of the future
It is difficult to concentrate
Meet the boss, meet the wife
Everybody's happy
Everyone is made for life

In a city of the future
It is difficult to find a space
I'm too busy to see you
You're too busy to wait

But I'm okay, how are you?
Thanks for asking, thanks for asking
But I'm okay, how are you?
I hope you're okay too

Everyone one of those days
When the sky's California blue
With a beautiful bombshell
I throw myself into my work
I'm too lazy, I've been kidding myself for so long

I'm okay, how are you?
Thanks for asking, thanks for asking
But I'm okay, how are you?
I hope you're okay too
",Palo Alto,radiohead
"

Kid A, Kid A, Kid A, Kid A
Everything, everything, everything, everything..
In its right place
In its right place
In its right place
Right place

Yesterday I woke up sucking a lemon
Yesterday I woke up sucking a lemon
Yesterday I woke up sucking a lemon
Yesterday I woke up sucking a lemon

Everything, everything, everything..
In its right place
In its right place
Right place

There are two colours in my head
There are two colours in my head
What is that you tried to say?
What was that you tried to say?
Tried to say.. tried to say..
Tried to say.. tried to say..

Everything in its right place
",Everything In Its Right Place,radiohead
"

I slipped away
I slipped on a little white lie

We got heads on sticks
You got ventriloquists
We got heads on sticks
You got ventriloquists

Standing in the shadows at the end of my bed [x4]

Rats and children follow me out of town
Rats and children follow me out of town
Come on kids...
",Kid A,radiohead
"

Everyone
Everyone around here
Everyone is so near
What's going on?
What's going on?

Everyone
Everyone is so near
Everyone has got the fear
It's holding on
It's holding on

It's holding on [x3]
",The National Anthem,radiohead
"

That there, that's not me
I go where I please
I walk through walls
I float down the Liffey

I'm not here
This isn't happening
I'm not here, I'm not here

In a little while
I'll be gone
The moment's already passed
Yeah, it's gone

I'm not here
This isn't happening
I'm not here, I'm not here

Strobe lights and blown speakers
Fireworks and hurricanes

I'm not here
This isn't happening
I'm not here, I'm not here....
",How To Disappear Completely,radiohead
"

Flies are buzzing around my head
Vultures circling the dead
Picking up every last crumb
The big fish eat the little ones
The big fish eat the little ones
Not my problem give me some

You can try the best you can
If you try the best you can
The best you can is good enough
[x2]

This one's optimistic
This one went to market
This one just came out of the swamp
This one dropped a payload
Fodder for the animals
Living on an animal farm

If you try the best you can
If you try the best you can
The best you can is good enough
[x2]

I'd really like to help you man
I'd really like to help you man.....
Nervous messed up marionette
Floating around on a prison ship

If you try the best you can
If you try the best you can
The best you can is good enough
If you try the best you can
If you try the best you can
Dinosaurs roaming the earth [x3]
",Optimistic,radiohead
"

I'm the first in the Irish Sea
Another message I can't read

I'm on your side
Nowhere to hide
Trapdoors that open
I spiral down

You're living in a fantasy world
You're living in a fantasy world

I'm lost at sea
Don't bother me
I've lost my way
I've lost my way

You're living in a fantasy world [x3]
This beautiful world I'm the first in the Irish Sea
Another message I can't read
",In Limbo,radiohead
